qmof_id,name,info.formula,info.formula_reduced,info.mofid.mofid,info.mofid.mofkey,info.mofid.smiles_nodes,info.mofid.smiles_linkers,info.mofid.smiles,info.mofid.topology,info.natoms,info.pld,info.lcd,info.density,info.volume,info.symmetry.spacegroup,info.symmetry.spacegroup_number,info.symmetry.spacegroup_crystal,info.symmetry.pointgroup,info.synthesized,info.source,info.doi,inputs.pbe.theory,inputs.pbe.pseudopotentials,inputs.pbe.encut,inputs.pbe.kpoints,inputs.pbe.gamma,inputs.pbe.spin,outputs.pbe.energy_total,outputs.pbe.energy_vdw,outputs.pbe.energy_elec,outputs.pbe.net_magmom,outputs.pbe.bandgap,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.directgap,outputs.pbe.bandgap_spins,outputs.pbe.cbm_spins,outputs.pbe.vbm_spins,outputs.pbe.directgap_spins,inputs.hle17.theory,inputs.hle17.pseudopotentials,inputs.hle17.encut,inputs.hle17.kpoints,inputs.hle17.gamma,inputs.hle17.spin,inputs.hse06_10hf.theory,inputs.hse06_10hf.pseudopotentials,inputs.hse06_10hf.encut,inputs.hse06_10hf.kpoints,inputs.hse06_10hf.gamma,inputs.hse06_10hf.spin,inputs.hse06.theory,inputs.hse06.pseudopotentials,inputs.hse06.encut,inputs.hse06.kpoints,inputs.hse06.gamma,inputs.hse06.spin,outputs.hle17.energy_total,outputs.hle17.energy_vdw,outputs.hle17.energy_elec,outputs.hle17.net_magmom,outputs.hle17.bandgap,outputs.hle17.cbm,outputs.hle17.vbm,outputs.hle17.directgap,outputs.hle17.bandgap_spins,outputs.hle17.cbm_spins,outputs.hle17.vbm_spins,outputs.hle17.directgap_spins,outputs.hse06_10hf.energy_total,outputs.hse06_10hf.energy_vdw,outputs.hse06_10hf.energy_elec,outputs.hse06_10hf.net_magmom,outputs.hse06_10hf.bandgap,outputs.hse06_10hf.cbm,outputs.hse06_10hf.vbm,outputs.hse06_10hf.directgap,outputs.hse06_10hf.bandgap_spins,outputs.hse06_10hf.cbm_spins,outputs.hse06_10hf.vbm_spins,outputs.hse06_10hf.directgap_spins,outputs.hse06.energy_total,outputs.hse06.energy_vdw,outputs.hse06.energy_elec,outputs.hse06.net_magmom,outputs.hse06.bandgap,outputs.hse06.cbm,outputs.hse06.vbm,outputs.hse06.directgap,outputs.hse06.bandgap_spins,outputs.hse06.cbm_spins,outputs.hse06.vbm_spins,outputs.hse06.directgap_spins
qmof-3b48e5d,core_DARSEV_SL,Cd3C90Cl12H54N6O6,CdC30Cl4H18N2O2,,,['Cl[Cd]Cl'],['Clc1ccc2c(c1)c(cc(c2c1c(O)cc(c2c1ccc(c2)Cl)c1ccncc1)O)c1ccncc1'],Cl[Cd]Cl.Clc1ccc2c(c1)c(cc(c2c1c(O)cc(c2c1ccc(c2)Cl)c1ccncc1)O)c1ccncc1,,171,6.8969,8.68173,0.9384582899237432,3677.0540444144017,P1,1,triclinic,1,True,CoRE,,PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'Cl 06Sep2000', 'O 08Apr2002']",520,"[2, 1, 1]",True,False,-1147.60578628,-12.64465,-1134.96113628,0.0,2.7824429999999998,0.09687699999999999,-2.6855659999999997,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-38471da,boydwoo_str_m4_Al_o6_o17_acs_sym_60,Al6C100H62N4O28,Al3C50H31N2O14,CCc1cc(C#CC(=O)[O-])cc(c1C#CC(=O)[O-])CC.CCc1cc(C#CC(=O)[O-])cc(c1C#CC(=O)[O-])NC.CNc1cc2cc(cc3c2c2c1cc(cc2cc3)C(=O)[O-])C(=O)[O-].CNc1cc2cc(cc3c2c2c1cc(cc2cc3NC)C(=O)[O-])C(=O)[O-].O[Al][O]([Al])[Al].[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-].[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-] MOFid-v1.acs.cat0,Al.BBEVBTYVZKAXHV.IUCPZNVTXMASAX.KFTFAHTWBYISAM.KZWAORMPYRVQLQ.OTAJGWQCQIEFEV.ZNBHUWPJDRSRHL.MOFkey-v1.acs,['O[Al][O]([Al])[Al]'],"['CCc1cc(C#CC(=O)[O-])cc(c1C#CC(=O)[O-])CC', 'CCc1cc(C#CC(=O)[O-])cc(c1C#CC(=O)[O-])NC', 'CNc1cc2cc(cc3c2c2c1cc(cc2cc3)C(=O)[O-])C(=O)[O-]', 'CNc1cc2cc(cc3c2c2c1cc(cc2cc3NC)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-]', '[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-]']",CCc1cc(C#CC(=O)[O-])cc(c1C#CC(=O)[O-])CC.CCc1cc(C#CC(=O)[O-])cc(c1C#CC(=O)[O-])NC.CNc1cc2cc(cc3c2c2c1cc(cc2cc3)C(=O)[O-])C(=O)[O-].CNc1cc2cc(cc3c2c2c1cc(cc2cc3NC)C(=O)[O-])C(=O)[O-].O[Al][O]([Al])[Al].[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-].[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-],acs,200,4.51344,6.52965,0.889567346943089,3601.6904493211623,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1407.98571415,-12.14615,-1395.83956415,0.0,2.157942,0.012890000000000013,-2.1450519999999997,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-c3ad823,boydwoo_str_m7_Zn_o1_o4_bcu_sym_76,Zn4C52H34N16O4,Zn2C26H17N8O2,N1=NC=C([CH]1)c1ccc(c2c1CC2)C1=CN=N[CH]1.N1=NC=C([CH]1)c1ccc(cc1)C1=CN=N[CH]1.OC(=O)C1=C([CH]N=N1)c1ccc(cc1)C1=C[N]N=C1.OC(=O)C1=NN=C[C]1c1ccc(cc1)C1=CN=N[CH]1.[Zn] MOFid-v1.hxl.cat0,Zn.CHNJOLOTLCRFFZ.QDARQHMJUNQACA.ZVQFRZJCUIPCMZ.MOFkey-v1.hxl,['[Zn]'],"['N1=NC=C([CH]1)c1ccc(c2c1CC2)C1=CN=N[CH]1', 'N1=NC=C([CH]1)c1ccc(cc1)C1=CN=N[CH]1', 'OC(=O)C1=C([CH]N=N1)c1ccc(cc1)C1=C[N]N=C1', 'OC(=O)C1=NN=C[C]1c1ccc(cc1)C1=CN=N[CH]1']",N1=NC=C([CH]1)c1ccc(c2c1CC2)C1=CN=N[CH]1.N1=NC=C([CH]1)c1ccc(cc1)C1=CN=N[CH]1.OC(=O)C1=C([CH]N=N1)c1ccc(cc1)C1=C[N]N=C1.OC(=O)C1=NN=C[C]1c1ccc(cc1)C1=CN=N[CH]1.[Zn],hxl,110,5.10553,6.6628,0.7919383809711196,2534.1276947947285,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['C 08Apr2002', 'H 15Jun2001', 'N 08Apr2002', 'O 08Apr2002', 'Zn 06Sep2000']",520,"[2, 2, 2]",False,False,-761.35038481,-6.48811,-754.86227481,0.0,2.716039,0.055645,-2.6603939999999997,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-bd9ffd3,boydwoo_str_m5_Al_o3_o18_sra_sym_32,Al4C80H56N8O20,AlC20H14N2O5,Nc1cc(ccc1c1ccc(cc1)c1ccc(cc1N)C(=O)[O-])C(=O)[O-].[Al].[O-]C(=O)c1ccc2c(c1N)c1ccc3c(c1cc2)c(N)c(cc3)C(=O)[O-].[OH] MOFid-v1.rna.cat0,Al.HEUWXBDPRQZTRJ.PJMVZOGUCLKMHW.MOFkey-v1.rna,"['[Al]', '[OH]']","['Nc1cc(ccc1c1ccc(cc1)c1ccc(cc1N)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)c1ccc2c(c1N)c1ccc3c(c1cc2)c(N)c(cc3)C(=O)[O-]']",Nc1cc(ccc1c1ccc(cc1)c1ccc(cc1N)C(=O)[O-])C(=O)[O-].[Al].[O-]C(=O)c1ccc2c(c1N)c1ccc3c(c1cc2)c(N)c(cc3)C(=O)[O-].[OH],rna,168,10.80226,11.50564,0.6588268364795887,3925.014682007069,P-1,2,triclinic,-1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[4, 1, 1]",True,False,-1178.95142931,-9.85159,-1169.09983931,0.0,2.813016,0.102605,-2.7104109999999997,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-c3298fb,boydwoo_str_m4_Al_o23_o23_acs_sym_159,Al6C90Cl6H80O34,Al3C45Cl3H40O17,COC1CC2(C#CC(=O)[O-])C(CC1(C#CC(=O)[O-])C(C2Cl)Cl)OC.O[Al][O]([Al])[Al].[O-]C(=O)C#CC12CCC(CC1)(CC2)C#CC(=O)[O-] MOFid-v1.acs.cat0,Al.GOOXBMRYAABKGY.NSFSUXSOCBXSLU.MOFkey-v1.acs,['O[Al][O]([Al])[Al]'],"['COC1CC2(C#CC(=O)[O-])C(CC1(C#CC(=O)[O-])C(C2Cl)Cl)OC', '[O-]C(=O)C#CC12CCC(CC1)(CC2)C#CC(=O)[O-]']",COC1CC2(C#CC(=O)[O-])C(CC1(C#CC(=O)[O-])C(C2Cl)Cl)OC.O[Al][O]([Al])[Al].[O-]C(=O)C#CC12CCC(CC1)(CC2)C#CC(=O)[O-],acs,216,6.1379,8.28942,0.7367779317792901,4688.289865558986,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'Cl 06Sep2000', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1386.67030332,-12.0394,-1374.63090332,0.0,2.920448,0.011876999999999971,-2.908571,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-3a9ad54,gmof_Al2O6-DPAC_B-fum_B_No232,Al2C20H14N2O12,AlC10H7NO6,NC(=C(C(=O)[O-])N)C(=O)[O-].[Al].[O-]C(=O)c1ccc(cc1O)C#Cc1ccc(c(c1)O)C(=O)[O-].[OH] MOFid-v1.rna.cat0,Al.MRRBAEJGLOLWCX.SXYMUDFZTGTEDD.MOFkey-v1.rna,"['[Al]', '[OH]']","['NC(=C(C(=O)[O-])N)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1O)C#Cc1ccc(c(c1)O)C(=O)[O-]']",NC(=C(C(=O)[O-])N)C(=O)[O-].[Al].[O-]C(=O)c1ccc(cc1O)C#Cc1ccc(c(c1)O)C(=O)[O-].[OH],rna,50,5.36512,6.4863,0.8906096784553719,985.0033890935522,P-1,2,triclinic,-1,False,GMOF,https://figshare.com/s/ec378d7315581e48f1e4,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[4, 3, 1]",True,False,-350.99323947,-2.99487,-347.99836947,0.0,2.106275,0.07902599999999999,-2.027249,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-60626cd,core_AKEDIF_freeONLY,Zn2C56H40N4O8,ZnC28H20N2O4,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn].n1ccc(cc1)C=Cc1ccc(cc1)C=Cc1ccncc1 MOFid-v1.dia.cat0,Zn.KKEYFWRCBNTPAC.QRZWEROLVZUPJH.MOFkey-v1.dia,['[Zn]'],"['[O-]C(=O)c1ccc(cc1)C(=O)[O-]', 'n1ccc(cc1)C=Cc1ccc(cc1)C=Cc1ccncc1']",[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn].n1ccc(cc1)C=Cc1ccc(cc1)C=Cc1ccncc1,dia,110,4.54552,5.14533,1.0375305471819898,1644.8964534096249,C2/c,15,monoclinic,2/m,True,CoRE,,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[4, 1, 1]",True,False,-750.05094559,-7.30165,-742.74929559,0.0,2.318315,0.10973,-2.208585,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-fa2b07a,tobacco_SR_ttv_v1-3c_pyrrole_Ch_v2-12c_Hf_1_Ch_1B_4H_Ch_2x2x2,Hf6C126H76N6O32,Hf3C63H38N3O16,"[O-]C(=O)c1ccc(cc1)c1ccc(n1c1ccc(cc1)n1c(ccc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O]12[Hf]34[OH]5[Hf]62[OH]2[Hf]71[OH]4[Hf]14[O]3[Hf]35[O]6[Hf]2([O]71)[OH]43 MOFid-v1.ftw,ttv.cat0",Hf.KDYYETWMSIDMSU.MOFkey-v1.ftw,['[O]12[Hf]34[OH]5[Hf]62[OH]2[Hf]71[OH]4[Hf]14[O]3[Hf]35[O]6[Hf]2([O]71)[OH]43'],['[O-]C(=O)c1ccc(cc1)c1ccc(n1c1ccc(cc1)n1c(ccc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]'],[O-]C(=O)c1ccc(cc1)c1ccc(n1c1ccc(cc1)n1c(ccc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O]12[Hf]34[OH]5[Hf]62[OH]2[Hf]71[OH]4[Hf]14[O]3[Hf]35[O]6[Hf]2([O]71)[OH]43,ftw,246,5.31222,7.07044,1.066282185579565,5072.044481624497,P1,1,triclinic,1,False,Anderson,https://doi.org/10.17605/OSF.IO/7DGVY,PBE-D3BJ,"['Hf_pv 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,False,-1791.11363346,-15.6897,-1775.4239334600002,0.0,2.650788,0.014137999999999984,-2.63665,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-8325046,boydwoo_str_m4_Al_o17_o25_acs_sym_181,Al6C105H62O52S8,Al6C105H62O52S8,CCCC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41)C#CC(=O)[O-])S([O])([O])O.CCCC12C3C4C2(C2(C1C3(C42S([O])([O])O)C#CC(=O)[O-])S(O)([O])[O])C#CC(=O)[O-].CCCc1c(cc2c3c1ccc1c3c(cc2)cc(c1)C(=O)[O-])C(=O)[O-].O[Al][O]([Al])[Al].[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])S([O])(O)[O].[O-]C(=O)c1cc2cc(c3c4c2c(c1)c(cc4c(c(c3)C(=O)[O-])S([O])([O])O)S([O])(O)[O])S([O])([O])O.[O-]C(=O)c1cc2ccc3c4c2c(c1)cc(c4cc(c3)C(=O)[O-])S([O])(O)[O] MOFid-v1.acs.cat0,Al.CSPDGXUUMNDRRQ.GVQIOBZAKGMCFX.OEUDJLZWLOYEDB.SEGAYEXNQBZHQN.UVJRLTXVQCKAKF.XPFOQIGAIKXVQZ.MOFkey-v1.acs,['O[Al][O]([Al])[Al]'],"['CCCC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41)C#CC(=O)[O-])S([O])([O])O', 'CCCC12C3C4C2(C2(C1C3(C42S([O])([O])O)C#CC(=O)[O-])S(O)([O])[O])C#CC(=O)[O-]', 'CCCc1c(cc2c3c1ccc1c3c(cc2)cc(c1)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])S([O])(O)[O]', '[O-]C(=O)c1cc2cc(c3c4c2c(c1)c(cc4c(c(c3)C(=O)[O-])S([O])([O])O)S([O])(O)[O])S([O])([O])O', '[O-]C(=O)c1cc2ccc3c4c2c(c1)cc(c4cc(c3)C(=O)[O-])S([O])(O)[O]']",CCCC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41)C#CC(=O)[O-])S([O])([O])O.CCCC12C3C4C2(C2(C1C3(C42S([O])([O])O)C#CC(=O)[O-])S(O)([O])[O])C#CC(=O)[O-].CCCc1c(cc2c3c1ccc1c3c(cc2)cc(c1)C(=O)[O-])C(=O)[O-].O[Al][O]([Al])[Al].[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])S([O])(O)[O].[O-]C(=O)c1cc2cc(c3c4c2c(c1)c(cc4c(c(c3)C(=O)[O-])S([O])([O])O)S([O])(O)[O])S([O])([O])O.[O-]C(=O)c1cc2ccc3c4c2c(c1)cc(c4cc(c3)C(=O)[O-])S([O])(O)[O],acs,233,5.22156,7.43225,1.0020440993983646,4265.498179086843,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'S 06Sep2000', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1597.62442814,-15.71178,-1581.91264814,0.0,1.9616279999999997,0.009357999999999977,-1.95227,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-10b2259,boydwoo_str_m4_Al_o23_o25_acs_sym_108,Al6Br13C84F13H42O28,Al6Br13C84F13H42O28,O[Al][O]([Al])[Al].[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])Br.[O-]C(=O)C#CC12CC(Br)C(C(C1Br)Br)(C(C2Br)(F)Br)C#CC(=O)[O-].[O-]C(=O)C#CC12CC(F)(Br)C(C(C1F)Br)(C(C2Br)Br)C#CC(=O)[O-].[O-]C(=O)C#CC12CC(F)C(C(C1F)Br)(C(C2(F)F)(F)Br)C#CC(=O)[O-].[O-]C(=O)C#CC12CCC(C(C1)F)(C(C2F)F)C#CC(=O)[O-].[O-]C(=O)C#CC12CCC(CC1F)(C(C2F)Br)C#CC(=O)[O-] MOFid-v1.acs.cat0,Al.LGYGQKXUJHPCTN.MMICLEBFDBWYSE.URJSWSKAXXFDHF.UUTGDYUKPAGSPH.WKBGQOMDSLTANJ.XNMNYUSUFDTFOE.MOFkey-v1.acs,['O[Al][O]([Al])[Al]'],"['[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])Br', '[O-]C(=O)C#CC12CC(Br)C(C(C1Br)Br)(C(C2Br)(F)Br)C#CC(=O)[O-]', '[O-]C(=O)C#CC12CC(F)(Br)C(C(C1F)Br)(C(C2Br)Br)C#CC(=O)[O-]', '[O-]C(=O)C#CC12CC(F)C(C(C1F)Br)(C(C2(F)F)(F)Br)C#CC(=O)[O-]', '[O-]C(=O)C#CC12CCC(C(C1)F)(C(C2F)F)C#CC(=O)[O-]', '[O-]C(=O)C#CC12CCC(CC1F)(C(C2F)Br)C#CC(=O)[O-]']",O[Al][O]([Al])[Al].[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])Br.[O-]C(=O)C#CC12CC(Br)C(C(C1Br)Br)(C(C2Br)(F)Br)C#CC(=O)[O-].[O-]C(=O)C#CC12CC(F)(Br)C(C(C1F)Br)(C(C2Br)Br)C#CC(=O)[O-].[O-]C(=O)C#CC12CC(F)C(C(C1F)Br)(C(C2(F)F)(F)Br)C#CC(=O)[O-].[O-]C(=O)C#CC12CCC(C(C1)F)(C(C2F)F)C#CC(=O)[O-].[O-]C(=O)C#CC12CCC(CC1F)(C(C2F)Br)C#CC(=O)[O-],acs,186,6.16276,8.18122,1.0614420625939889,4610.083202460947,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'Br 06Sep2000', 'O 08Apr2002', 'F 08Apr2002']",520,"[2, 2, 1]",True,False,-1206.4269182,-12.12077,-1194.3061482,0.0,2.768885,0.021343,-2.7475419999999997,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
